document_id	text	entity_type	spans	UMLS_CUI
22271960_ru	тяжелой острой респираторной инфекцией	DISO	101-139	C3873497
22271960_ru	гриппа	DISO	1526-1532	C0021400
22271960_ru	ГПБ	DISO	497-500	C0521839
22271960_ru	грипп	DISO	41-46	C0021400
22271960_ru	инфекцией	DISO	394-403	C3714514
22271960_ru	гриппом	DISO	743-750	C0021400
22271960_ru	острой респираторной инфекцией	DISO	109-139	C0339901
22271960_ru	респираторной инфекцией	DISO	116-139	C0035243
22271960_ru	острой респираторной инфекцией	DISO	373-403	C0339901
22271960_ru	ТОРИ	DISO	862-866	C3873497
22271960_ru	ТОРИ	DISO	405-409	C3873497
22271960_ru	тяжелой острой респираторной инфекцией	DISO	365-403	C3873497
22271960_ru	ТОРИ	DISO	1139-1143	C3873497
22271960_ru	ТОРИ	DISO	141-145	C3873497
22271960_ru	респираторной инфекцией	DISO	380-403	C0035243
22271960_ru	носа	ANATOMY	239-243	C0028429
22271960_ru	гриппоподобной болезни	DISO	473-495	C0521839
22271960_ru	Гриппоподобная болезнь	DISO	1581-1603	C0521839
22271960_ru	инфекцией	DISO	130-139	C3714514
22271960_ru	гриппом	DISO	1338-1345	C0021400
22271960_ru	гриппа	DISO	1744-1750	C0021400
22271960_ru	ГПБ	DISO	1405-1408	C0521839
22271960_ru	гриппом	DISO	884-891	C0021400
22271960_ru	зева	ANATOMY	246-250	C2945603
22271960_ru	гриппа	DISO	1076-1082	C0021400
22271960_ru	гриппа	DISO	272-278	C0021400
23397346_ru	иммунодефицита человека	DISO	971-994	C0019693
23397346_ru	инфекцией	DISO	1000-1009	C3714514
23397346_ru	инфекции, передающиеся половым путем	DISO	1103-1139	C0036916
23397346_ru	инфекции	DISO	1103-1111	C3714514
23397346_ru	ВИЧ-инфекцией	DISO	996-1009	C0019693
23397346_ru	иммунодефицита	DISO	971-985	C0021051
23397347_ru	витамина	CHEM	1626-1634	C0042890
23397347_ru	витамина	CHEM	71-79	C0042890
23397347_ru	витамина	CHEM	470-478	C0042890
23397347_ru	витамина	CHEM	692-700	C0042890
23397347_ru	витамина А	CHEM	1626-1636	C0042839
23397347_ru	плацебо	CHEM	705-712	C0032042
23397347_ru	витамина А	CHEM	470-480	C0042839
23397347_ru	плацебо	CHEM	497-504	C0032042
23397347_ru	плацебо	CHEM	252-259	C0032042
23397347_ru	плацебо	CHEM	1372-1379	C0032042
23397347_ru	витамина А	CHEM	71-81	C0042839
23397347_ru	витамина А	CHEM	692-702	C0042839
23397353_ru	иммунодефицита человека	DISO	145-168	C0019693
23397353_ru	CD4 +	ANATOMY	1929-1934	C0039215
23397353_ru	заражения ВИЧ	DISO	868-881	C0019693
23397353_ru	ВИЧ-инфекции	DISO	1095-1107	C0019693
23397353_ru	ВИЧ-инфекции	DISO	1022-1034	C0019693
23397353_ru	лимфоцитов	ANATOMY	1918-1928	C0024264
23397353_ru	Т-лимфоцитов	ANATOMY	1916-1928	C0039194
23397353_ru	иммунодефицита	DISO	145-159	C0021051
23397353_ru	инфекции	DISO	1099-1107	C3714514
23397353_ru	инфекции	DISO	1026-1034	C3714514
23397353_ru	полимеразной	CHEM	958-970	C1335439
23476090_ru	кори	DISO	1793-1797	C0025007
23476090_ru	кори	DISO	1481-1485	C0025007
23476090_ru	кори	DISO	556-560	C0025007
23476090_ru	иммунодефицита человека	DISO	675-698	C0019693
23476090_ru	корью	DISO	276-281	C0025007
23476090_ru	кори	DISO	1066-1070	C0025007
23476090_ru	иммунодефицита	DISO	675-689	C0021051
23476090_ru	ВИЧ-инфекцией	DISO	1635-1648	C0019693
23476090_ru	корью	DISO	339-344	C0025007
23476090_ru	кори	DISO	1388-1392	C0025007
23476090_ru	вакцины	CHEM	600-607	C0042210
23476090_ru	кори	DISO	98-102	C0025007
23476090_ru	инфекции	DISO	659-667	C3714514
23476090_ru	инфекцией	DISO	1639-1648	C3714514
23476090_ru	кори	DISO	153-157	C0025007
23476090_ru	вакцины	CHEM	1297-1304	C0042210
23476090_ru	инфекциям	DISO	1807-1816	C3714514
23476092_ru	клетки	ANATOMY	964-970	C0007634
23476092_ru	клеток	ANATOMY	1094-1100	C0007634
23476092_ru	CD4+	ANATOMY	1101-1105	C0039215
23476092_ru	CD4+ T-лимфоцитов	ANATOMY	927-944	C0039215
23476092_ru	туберкулеза	DISO	1247-1258	C0041296
23476092_ru	CD4+	ANATOMY	953-957	C0039215
23476092_ru	туберкулезом	DISO	852-864	C0041296
23476092_ru	лимфоцитов	ANATOMY	934-944	C0024264
23476092_ru	иммунодефицита	DISO	447-461	C0021051
23476092_ru	туберкулезом	DISO	479-491	C0041296
23476092_ru	туберкулеза	DISO	205-216	C0041296
23476092_ru	клеток	ANATOMY	946-952	C0007634
23476092_ru	T-лимфоцитов	ANATOMY	932-944	C0039194
23476092_ru	ВИЧ-положительных	DISO	822-839	C0019693
23476092_ru	ВИЧ-положительные	DISO	526-543	C0019693
23476092_ru	иммунодефицита человека	DISO	447-470	C0019693
23476093_ru	экстренным акушерским случаям	DISO	238-267	C0269815
23476093_ru	экстренных акушерских случаях	DISO	2029-2058	C0269815
23554522_ru	инъекционных опиоидных препаратов	CHEM	359-392	CUILESS
23554522_ru	метадоновой	CHEM	25-36	C0025605
23554522_ru	опиоидных препаратов	CHEM	372-392	C0242402
23554522_ru	инъекционных опиоидных препаратов	CHEM	99-132	CUILESS
23554522_ru	ВИЧ-положительных	DISO	327-344	C0019693
23554522_ru	инфекционных	DISO	1479-1491	C0009450
23554522_ru	CD4+ Т-лимфоцитов	ANATOMY	1405-1422	C0039215
23554522_ru	CD4+	CHEM	1405-1409	C0085386
23554522_ru	ВИЧ-инфицированных	DISO	307-325	C0019693
23554522_ru	опиоидных препаратов	CHEM	112-132	C0242402
23554522_ru	иммунодефицита человека	DISO	205-228	C0019693
23554522_ru	лимфоцитов	ANATOMY	1412-1422	C0024264
23554522_ru	инфекции	DISO	189-197	C3714514
23554522_ru	Т-лимфоцитов	ANATOMY	1410-1422	C0039194
23554522_ru	иммунодефицита	DISO	205-219	C0021051
23554522_ru	гемоглобина	CHEM	1373-1384	C0518015
23554522_ru	инфекции вируса иммунодефицита человека	DISO	189-228	C0019693
23554523_ru	наркотики	CHEM	1285-1294	C0027415
23554523_ru	инфекции	DISO	1899-1907	C3714514
23554523_ru	синдром приобретенного иммунодефицита	DISO	1466-1503	C0001175
23554523_ru	СПИД	DISO	1505-1509	C0001175
23554523_ru	иммунодефицита	DISO	1356-1370	C0021051
23554523_ru	наркотиков	CHEM	1968-1978	C0027415
23554523_ru	наркотиков	CHEM	1453-1463	C0027415
23554523_ru	наркотики	CHEM	1615-1624	C0027415
23554523_ru	наркотики	CHEM	828-837	C0027415
23554523_ru	ВИЧ-инфекции	DISO	1895-1907	C0019693
23554523_ru	иммунодефицита	DISO	1489-1503	C0021051
23554523_ru	иммунодефицита человека	DISO	1356-1379	C0019693
23554523_ru	наркотики	CHEM	90-99	C0027415
23554525_ru	опиоидной зависимости	DISO	588-609	C0524662
23554525_ru	метадоновой	CHEM	535-546	C0025605
23554525_ru	метадоновой	CHEM	1602-1613	C0025605
23554525_ru	метадона	CHEM	761-769	C0025605
23554525_ru	метадона	CHEM	1332-1340	C0025605
23554525_ru	опиоидной	CHEM	588-597	C0242402
23554525_ru	метадоновой	CHEM	41-52	C0025605
23554525_ru	метадоновой	CHEM	371-382	C0025605
23554526_ru	инфекции	DISO	1194-1202	C3714514
23554526_ru	героин	CHEM	566-572	C0011892
23554526_ru	наркотиков	CHEM	445-455	C0027415
23554526_ru	опиоидной	CHEM	1366-1375	C0242402
23554526_ru	наркотики	CHEM	243-252	C0027415
23554526_ru	опиоидной	CHEM	628-637	C0242402
23554526_ru	опиоиды	CHEM	214-221	C0242402
23554526_ru	инфекции	DISO	494-502	C3714514
23554526_ru	опиоидов	CHEM	126-134	C0242402
23554526_ru	агонистами опиоидов	CHEM	115-134	C0027410
23554526_ru	запрещенные наркотики	CHEM	231-252	C0086190
23554526_ru	иммунодефицита человека	DISO	510-533	C0019693
23554526_ru	опиоидной зависимости	DISO	1366-1387	C0524662
23554526_ru	опиоидной зависимости	DISO	628-649	C0524662
23554526_ru	запрещенных наркотиков	CHEM	433-455	C0086190
23554526_ru	ВИЧ-инфекции	DISO	1190-1202	C0019693
23554526_ru	иммунодефицита	DISO	510-524	C0021051
23554526_ru	синдрома приобретенного иммунодефицита	DISO	351-389	C0001175
23554526_ru	иммунодефицита	DISO	375-389	C0021051
23554526_ru	запрещенные опиоиды	CHEM	202-221	CUILESS
23599555_ru	инфекции	DISO	895-903	C3714514
23599555_ru	запрещенных инъекционных наркотиков	CHEM	342-377	C0086190
23599555_ru	иммунодефицита	DISO	141-155	C0019693
23599555_ru	ВИЧ-положительных	DISO	1603-1620	C0019693
23599555_ru	наркотиков	CHEM	367-377	C0027415
23599555_ru	инфицированных	DISO	118-132	C3714514
23599555_ru	инфекции	DISO	256-264	C3714514
23599555_ru	агонистов опиоидных рецепторов	CHEM	1435-1465	C0242402
23599555_ru	наркотики	CHEM	944-953	C0027415
23599555_ru	наркотики	CHEM	764-773	C0027415
23599555_ru	ВИЧ-инфекции	DISO	252-264	C0019693
23599555_ru	наркотики	CHEM	94-103	C0027415
23599555_ru	иммунодефицита человека	DISO	141-164	C0021051
23599555_ru	рецепторов	CHEM	1455-1465	C0597357
23599555_ru	опиоидных	CHEM	1445-1454	C0027415
23599555_ru	ВИЧ-инфекции	DISO	891-903	C0019693
23599555_ru	агонистов	CHEM	1435-1444	C0243192
23599555_ru	запрещенные инъекционные наркотики	CHEM	69-103	C0086190
23599555_ru	опиатов	CHEM	388-395	C0242401
23599555_ru	опиоидных рецепторов	CHEM	1445-1465	C0034801
23599555_ru	инъекционные наркотики	CHEM	81-103	CUILESS
23599555_ru	инъекционные наркотики	CHEM	931-953	CUILESS
23599555_ru	инъекционные наркотики	CHEM	751-773	CUILESS
23599555_ru	инъекционных наркотиков	CHEM	354-377	CUILESS
23678195_ru	грудного	ANATOMY	1884-1892	C0006141
23678195_ru	грудного	ANATOMY	1973-1981	C0006141
23678195_ru	грудного	ANATOMY	1773-1781	C0006141
23678195_ru	грудном	ANATOMY	976-983	C0006141
23678195_ru	грудного	ANATOMY	409-417	C0006141
23678195_ru	Грудное	ANATOMY	1572-1579	C0006141
23678195_ru	грудном	ANATOMY	649-656	C0006141
23678195_ru	грудное	ANATOMY	737-744	C0006141
23678195_ru	грудного	ANATOMY	1012-1020	C0006141
23678195_ru	грудного	ANATOMY	22-30	C0006141
23678195_ru	грудное	ANATOMY	841-848	C0006141
23678195_ru	грудное	ANATOMY	1392-1399	C0006141
23678196_ru	рака легких	DISO	81-92	C0242379
23678196_ru	рака	DISO	1289-1293	C0006826
23678196_ru	рака	DISO	1651-1655	C0006826
23678196_ru	рака легких	DISO	1289-1300	C0242379
23678196_ru	легких	ANATOMY	436-442	C0024109
23678196_ru	легких	ANATOMY	1294-1300	C0024109
23678196_ru	рака	DISO	1197-1201	C0006826
23678196_ru	рака	DISO	431-435	C0006826
23678196_ru	легких	ANATOMY	86-92	C0024109
23678196_ru	рака легких	DISO	1197-1208	C0242379
23678196_ru	рака	DISO	81-85	C0006826
23678196_ru	рака легких	DISO	431-442	C0242379
23678196_ru	легких	ANATOMY	1202-1208	C0024109
23678197_ru	табака	CHEM	1093-1099	C0040329
23678197_ru	табака	CHEM	1589-1595	C0040329
23678197_ru	табака	CHEM	1388-1394	C0040329
23678197_ru	табака	CHEM	1862-1868	C0040329
23678197_ru	диареи	DISO	1041-1047	C0011991
23678197_ru	отставания ребенка в росте	DISO	762-788	C0151686
23678197_ru	задержки роста	DISO	626-640	C0151686
23678197_ru	отставания в росте	DISO	119-137	C0151686
23678197_ru	задержки в росте	DISO	1424-1440	C0151686
23678197_ru	задержки роста	DISO	496-510	C0151686
23678197_ru	задержки роста	DISO	1632-1646	C0151686
23678197_ru	задержки в росте	DISO	1179-1195	C0151686
23678197_ru	тела	ANATOMY	883-887	C0242821
23678198_ru	затылочном	ANATOMY	323-333	C0230005
23678198_ru	кровотечением	DISO	1149-1162	C0019080
23678198_ru	промежности	ANATOMY	1488-1499	C0031066
23678198_ru	послеродовым кровотечением	DISO	1136-1162	C0032797
23678201_ru	инфекции вируса иммунодефицита человека	DISO	157-196	C0019693
23678201_ru	плазмы	ANATOMY	841-847	CUILESS
23678201_ru	иммунодефицита	DISO	173-187	C0021051
23678201_ru	иммунодефицита человека	DISO	173-196	C0019693
23825877_ru	Токсоплазмоз	DISO	1518-1530	C0040558
23825877_ru	врожденным токсоплазмозом	DISO	1072-1097	C0040560
23825877_ru	инфицирования	DISO	94-107	C3714514
23825877_ru	ВТ	DISO	941-943	C0040560
23825877_ru	иммуноглобулин	CHEM	638-652	C0202081
23825877_ru	иммуноглобулин	CHEM	506-520	C0202081
23825877_ru	ВТ	DISO	456-458	C0040560
23825877_ru	ВТ	DISO	58-60	C0040560
23825877_ru	иммуноглобулин М	CHEM	638-654	C0020861
23825877_ru	токсоплазмоза	DISO	43-56	C0040558
23825877_ru	врожденного токсоплазмоза	DISO	31-56	C0040560
23825877_ru	токсоплазмозом	DISO	1083-1097	C0040558
23825877_ru	токсоплазмоз	DISO	1447-1459	C0040558
23825877_ru	иммуноглобулин М	CHEM	506-522	C0020861
23825877_ru	Врожденный токсоплазмоз	DISO	1436-1459	C0040560
23825877_ru	ВТ	DISO	724-726	C0040560
23825880_ru	респираторных заболеваний	DISO	1423-1448	C0035204
23825880_ru	респираторных заболеваний	DISO	1064-1089	C0035204
23825880_ru	респираторных заболеваний	DISO	552-577	C0035204
23825880_ru	респираторных заболеваний	DISO	41-66	C0035204
23825880_ru	H1N1	DISO	1575-1579	C2076600
23825880_ru	респираторными заболеваниями	DISO	179-207	C0035204
23825880_ru	респираторных заболеваний	DISO	424-449	C0035204
23825880_ru	респираторных заболеваний	DISO	912-937	C0035204
23825882_ru	йодированной	CHEM	944-956	C0021968
23825882_ru	йодированной	CHEM	74-86	C0021968
23825882_ru	йодированная	CHEM	1635-1647	C0021968
23825882_ru	йодированной	CHEM	1191-1203	C0021968
23825882_ru	йода	CHEM	637-641	C0021968
23825882_ru	йодированной	CHEM	1946-1958	C0021968
23825882_ru	йода	CHEM	695-699	C0021968
23825882_ru	йодированной	CHEM	199-211	C0021968
23940402_ru	марганец	CHEM	1363-1371	C0373677
23940402_ru	кадмия	CHEM	1008-1014	C0373557
23940402_ru	кадмий	CHEM	1347-1353	C0373557
23940402_ru	марганца	CHEM	1033-1041	C0373677
23940402_ru	марганец	CHEM	901-909	C0373677
23940402_ru	железо	CHEM	893-899	C0302583
23940402_ru	загрязняющих веществ	CHEM	330-350	C0043053
23940402_ru	загрязняющих веществ	CHEM	1409-1429	C0043053
23940402_ru	загрязняющих веществ	CHEM	1201-1221	C0043053
23940402_ru	загрязняющих веществ	CHEM	31-51	C0043053
