document_id	entity_type	entity_text	entity_span
22271960_ru	DISO	острой респираторной инфекцией	109-139
22271960_ru	DISO	респираторной инфекцией	116-139
22271960_ru	DISO	ТОРИ	141-145
22271960_ru	DISO	гриппа	272-278
22271960_ru	DISO	острой респираторной инфекцией	373-403
22271960_ru	DISO	респираторной инфекцией	380-403
22271960_ru	DISO	ТОРИ	405-409
22271960_ru	DISO	тяжелой острой респираторной инфекцией	101-139
22271960_ru	PHYS	детской смертности	183-201
22271960_ru	LABPROC	взяты мазки	224-235
22271960_ru	ANATOMY	носа	239-243
22271960_ru	ANATOMY	зева	246-250
22271960_ru	LABPROC	анализа на вирус гриппа	255-278
22271960_ru	DISO	гриппоподобной болезни	473-495
22271960_ru	DISO	ГПБ	497-500
22271960_ru	FINDING	заболеваемости гриппом	728-750
22271960_ru	FINDING	заболеваемости ТОРИ	847-866
22271960_ru	DISO	гриппом	884-891
22271960_ru	DISO	гриппа	1076-1082
22271960_ru	FINDING	Заболеваемость ТОРИ	1124-1143
22271960_ru	FINDING	Заболеваемость лабораторно подтвержденным гриппом	1296-1345
22271960_ru	LABPROC	лабораторно подтвержденным	1311-1337
22271960_ru	DISO	гриппом	1338-1345
22271960_ru	DISO	гриппа	1526-1532
22271960_ru	DISO	Гриппоподобная болезнь	1581-1603
22271960_ru	DISO	гриппа	1744-1750
22271960_ru	DISO	грипп	41-46
22271960_ru	DISO	тяжелой острой респираторной инфекцией	365-403
22271960_ru	DISO	гриппом	743-750
22271960_ru	DISO	ТОРИ	1139-1143
22271960_ru	DISO	ГПБ	1405-1408
22271960_ru	DISO	ТОРИ	862-866
22271960_ru	PHYS	респираторной	116-129
22271960_ru	PHYS	респираторной	380-393
22271960_ru	FINDING	заболеваемости	728-742
22271960_ru	FINDING	заболеваемости	847-861
22271960_ru	FINDING	Заболеваемость	1124-1138
22271960_ru	FINDING	Заболеваемость	1296-1310
22271960_ru	DISO	инфекцией	130-139
22271960_ru	DISO	инфекцией	394-403
22271960_ru	FINDING	госпитализируемых по поводу гриппа, выше	1716-1756
22271960_ru	PHYS	смертности	191-201
23397346_ru	PHYS	сексуального	102-114
23397346_ru	PHYS	репродуктивного здоровья	117-141
23397346_ru	PHYS	сексуального	778-790
23397346_ru	PHYS	репродуктивного здоровья	793-817
23397346_ru	PHYS	материнское здоровье	861-881
23397346_ru	INJURY_POISONING	гендерное насили	908-924
23397346_ru	PHYS	сексуального	1942-1954
23397346_ru	PHYS	репродуктивного здоровья	1957-1981
23397346_ru	DISO	ВИЧ-инфекцией	996-1009
23397346_ru	DISO	инфекции, передающиеся половым путем	1103-1139
23397346_ru	PHYS	репродуктивного	117-132
23397346_ru	PHYS	здоровья	133-141
23397346_ru	PHYS	репродуктивного	793-808
23397346_ru	PHYS	здоровья	809-817
23397346_ru	PHYS	здоровье	873-881
23397346_ru	PHYS	репродуктивного	1957-1972
23397346_ru	PHYS	здоровья	1973-1981
23397346_ru	DISO	иммунодефицита человека	971-994
23397346_ru	DISO	инфекцией	1000-1009
23397346_ru	DISO	инфекции	1103-1111
23397346_ru	DISO	иммунодефицита	971-985
23397347_ru	CHEM	витамина А	71-81
23397347_ru	FINDING	смертность	85-95
23397347_ru	CHEM	плацебо	252-259
23397347_ru	CHEM	витамина А	470-480
23397347_ru	CHEM	плацебо	497-504
23397347_ru	CHEM	витамина А	692-702
23397347_ru	CHEM	плацебо	705-712
23397347_ru	PHYS	смерти	886-892
23397347_ru	PHYS	смерти.	982-989
23397347_ru	FINDING	смертности	1001-1011
23397347_ru	CHEM	плацебо	1372-1379
23397347_ru	PHYS	смертям	1456-1463
23397347_ru	FINDING	смертности	1523-1533
23397347_ru	CHEM	витамина А	1626-1636
23397347_ru	FINDING	смертности	1724-1734
23397347_ru	FINDING	не оказывают благоприятного влияния по программам сокращения смертности	1663-1734
23397347_ru	CHEM	витамина	71-79
23397347_ru	CHEM	витамина	470-478
23397347_ru	CHEM	витамина	1626-1634
23397347_ru	CHEM	витамина	692-700
23397353_ru	PHYS	ПМР	133-136
23397353_ru	PHYS	передачи от матери ребенку	105-131
23397353_ru	PHYS	беременных	615-625
23397353_ru	LABPROC	полимеразной цепной реакции	958-985
23397353_ru	DISO	ВИЧ-инфекции	1022-1034
23397353_ru	ANATOMY	Т-лимфоцитов	1916-1928
23397353_ru	ANATOMY	CD4 +	1929-1934
23397353_ru	LABPROC	ПЦР	1959-1962
23397353_ru	LABPROC	анализ на ВИЧ	673-686
23397353_ru	LABPROC	ПЦР	987-990
23397353_ru	CHEM	полимеразной	958-970
23397353_ru	FINDING	уровень передачи ВИЧ	1191-1211
23397353_ru	PHYS	смерти	712-718
23397353_ru	DISO	инфекции	1026-1034
23397353_ru	DISO	заражения ВИЧ	868-881
23397353_ru	DISO	ВИЧ-инфекции	1095-1107
23397353_ru	DISO	инфекции	1099-1107
23397353_ru	DISO	иммунодефицита человека	145-168
23397353_ru	FINDING	уровень передачи ВИЧ-инфекции снизился	1078-1116
23397353_ru	PHYS	ПМР	1379-1382
23397353_ru	PHYS	ПМР	221-224
23397353_ru	PHYS	ПМР	341-344
23397353_ru	ANATOMY	лимфоцитов	1918-1928
23397353_ru	DISO	иммунодефицита	145-159
23397353_ru	FINDING	показывали положительный анализ на ВИЧ	648-686
23397353_ru	FINDING	увеличилась	1036-1047
23397353_ru	FINDING	выявления ранней передачи ВИЧ-инфекци	996-1033
23397353_ru	FINDING	уровень передачи ВИЧ-инфекции	1078-1107
23397353_ru	PHYS	ПМР	1701-1704
23476090_ru	DISO	кори	153-157
23476090_ru	DISO	корью	276-281
23476090_ru	CHEM	вакцины	600-607
23476090_ru	DISO	инфекции	659-667
23476090_ru	PHYS	сероконверсии	729-742
23476090_ru	CHEM	вакцины	1297-1304
23476090_ru	DISO	кори	1481-1485
23476090_ru	FINDING	заболеваемости	1620-1634
23476090_ru	DISO	ВИЧ-инфекцией	1635-1648
23476090_ru	DISO	инфекциям	1807-1816
23476090_ru	DISO	кори	556-560
23476090_ru	DISO	кори	98-102
23476090_ru	DISO	корью	339-344
23476090_ru	DISO	кори	1388-1392
23476090_ru	DISO	кори	1066-1070
23476090_ru	DISO	кори	1793-1797
23476090_ru	DISO	иммунодефицита человека	675-698
23476090_ru	FINDING	ростом уязвимых слоев населения	1516-1547
23476090_ru	FINDING	заболеваемости ВИЧ-инфекцией	1620-1648
23476090_ru	DISO	иммунодефицита	675-689
23476090_ru	DISO	инфекцией	1639-1648
23476090_ru	FINDING	Повышенный риск	1028-1043
23476090_ru	FINDING	Риск возникновения вспышки также повышался	1183-1225
