document_id	relation	head_text	head_span	head_type	tail_text	tail_span	tail_type
22271960_ru	ALTERNATIVE_NAME	гриппоподобной болезни	473-495	DISO	ГПБ	497-500	DISO
22271960_ru	ABBREVIATION	тяжелой острой респираторной инфекцией	101-139	DISO	ТОРИ	141-145	DISO
22271960_ru	ABBREVIATION	тяжелой острой респираторной инфекцией	365-403	DISO	ТОРИ	405-409	DISO
22271960_ru	APPLIED_TO	взяты мазки	224-235	LABPROC	носа	239-243	ANATOMY
22271960_ru	APPLIED_TO	взяты мазки	224-235	LABPROC	зева	246-250	ANATOMY
22271960_ru	TO_DETECT_OR_STUDY	анализа на вирус гриппа	255-278	LABPROC	гриппа	272-278	DISO
22271960_ru	HAS_CAUSE	тяжелой острой респираторной инфекцией	101-139	DISO	грипп	41-46	DISO
22271960_ru	SUBCLASS_OF	острой респираторной инфекцией	109-139	DISO	респираторной инфекцией	116-139	DISO
22271960_ru	SUBCLASS_OF	тяжелой острой респираторной инфекцией	101-139	DISO	острой респираторной инфекцией	109-139	DISO
22271960_ru	SUBCLASS_OF	острой респираторной инфекцией	373-403	DISO	респираторной инфекцией	380-403	DISO
22271960_ru	SUBCLASS_OF	тяжелой острой респираторной инфекцией	365-403	DISO	острой респираторной инфекцией	373-403	DISO
22271960_ru	TO_DETECT_OR_STUDY	лабораторно подтвержденным	1311-1337	LABPROC	гриппом	1338-1345	DISO
22271960_ru	HAS_CAUSE	детской смертности	183-201	PHYS	тяжелой острой респираторной инфекцией	101-139	DISO
22271960_ru	USED_IN	взяты мазки	224-235	LABPROC	анализа на вирус гриппа	255-278	LABPROC
22271960_ru	SUBCLASS_OF	заболеваемости ТОРИ	847-866	FINDING	заболеваемости	847-861	FINDING
22271960_ru	HAS_CAUSE	заболеваемости	847-861	FINDING	ТОРИ	862-866	DISO
22271960_ru	SUBCLASS_OF	заболеваемости гриппом	728-750	FINDING	заболеваемости	728-742	FINDING
22271960_ru	HAS_CAUSE	заболеваемости	728-742	FINDING	гриппом	743-750	DISO
22271960_ru	HAS_CAUSE	Заболеваемость ТОРИ	1124-1143	FINDING	ТОРИ	1139-1143	DISO
22271960_ru	SUBCLASS_OF	Заболеваемость ТОРИ	1124-1143	FINDING	Заболеваемость	1124-1138	FINDING
22271960_ru	SUBCLASS_OF	Заболеваемость лабораторно подтвержденным гриппом	1296-1345	FINDING	Заболеваемость	1296-1310	FINDING
22271960_ru	HAS_CAUSE	Заболеваемость лабораторно подтвержденным гриппом	1296-1345	FINDING	гриппом	1338-1345	DISO
22271960_ru	SUBCLASS_OF	респираторной инфекцией	116-139	DISO	инфекцией	130-139	DISO
22271960_ru	SUBCLASS_OF	респираторной инфекцией	380-403	DISO	инфекцией	394-403	DISO
22271960_ru	SUBCLASS_OF	детской смертности	183-201	PHYS	смертности	191-201	PHYS
23397346_ru	SUBCLASS_OF	материнское здоровье	861-881	PHYS	здоровье	873-881	PHYS
23397346_ru	SUBCLASS_OF	репродуктивного здоровья	793-817	PHYS	здоровья	809-817	PHYS
23397346_ru	SUBCLASS_OF	инфекции, передающиеся половым путем	1103-1139	DISO	инфекции	1103-1111	DISO
23397346_ru	SUBCLASS_OF	репродуктивного здоровья	1957-1981	PHYS	здоровья	1973-1981	PHYS
23397346_ru	SUBCLASS_OF	ВИЧ-инфекцией	996-1009	DISO	инфекцией	1000-1009	DISO
23397346_ru	SUBCLASS_OF	репродуктивного здоровья	117-141	PHYS	здоровья	133-141	PHYS
23397346_ru	SUBCLASS_OF	иммунодефицита человека	971-994	DISO	иммунодефицита	971-985	DISO
23397347_ru	SUBCLASS_OF	витамина А	71-81	CHEM	витамина	71-79	CHEM
23397347_ru	HAS_CAUSE	смертность	85-95	FINDING	витамина	71-79	CHEM
23397347_ru	SUBCLASS_OF	витамина А	470-480	CHEM	витамина	470-478	CHEM
23397347_ru	SUBCLASS_OF	витамина А	1626-1636	CHEM	витамина	1626-1634	CHEM
23397347_ru	HAS_CAUSE	не оказывают благоприятного влияния по программам сокращения смертности	1663-1734	FINDING	витамина А	1626-1636	CHEM
23397347_ru	HAS_CAUSE	не оказывают благоприятного влияния по программам сокращения смертности	1663-1734	FINDING	смертности	1724-1734	FINDING
23397347_ru	SUBCLASS_OF	витамина А	692-702	CHEM	витамина	692-700	CHEM
23397347_ru	FINDING_OF	смертности	1523-1533	FINDING	смертям	1456-1463	PHYS
23397347_ru	FINDING_OF	смертности	1001-1011	FINDING	смерти.	982-989	PHYS
23397353_ru	ABBREVIATION	полимеразной цепной реакции	958-985	LABPROC	ПЦР	987-990	LABPROC
23397353_ru	ABBREVIATION	передачи от матери ребенку	105-131	PHYS	ПМР	133-136	PHYS
23397353_ru	SUBCLASS_OF	CD4 +	1929-1934	ANATOMY	Т-лимфоцитов	1916-1928	ANATOMY
23397353_ru	TO_DETECT_OR_STUDY	ПЦР	1959-1962	LABPROC	Т-лимфоцитов	1916-1928	ANATOMY
23397353_ru	SUBCLASS_OF	ВИЧ-инфекции	1022-1034	DISO	инфекции	1026-1034	DISO
23397353_ru	USED_IN	полимеразной	958-970	CHEM	полимеразной цепной реакции	958-985	LABPROC
23397353_ru	TO_DETECT_OR_STUDY	полимеразной цепной реакции	958-985	LABPROC	ВИЧ-инфекции	1022-1034	DISO
23397353_ru	SUBCLASS_OF	ВИЧ-инфекции	1095-1107	DISO	инфекции	1099-1107	DISO
23397353_ru	SUBCLASS_OF	Т-лимфоцитов	1916-1928	ANATOMY	лимфоцитов	1918-1928	ANATOMY
23397353_ru	SUBCLASS_OF	иммунодефицита человека	145-168	DISO	иммунодефицита	145-159	DISO
23397353_ru	ORIGINS_FROM	показывали положительный анализ на ВИЧ	648-686	FINDING	анализ на ВИЧ	673-686	LABPROC
23397353_ru	TO_DETECT_OR_STUDY	полимеразной цепной реакции	958-985	LABPROC	выявления ранней передачи ВИЧ-инфекци	996-1033	FINDING
23397353_ru	HAS_CAUSE	выявления ранней передачи ВИЧ-инфекци	996-1033	FINDING	ВИЧ-инфекции	1022-1034	DISO
23397353_ru	ALTERNATIVE_NAME	уровень передачи ВИЧ-инфекции	1078-1107	FINDING	уровень передачи ВИЧ	1191-1211	FINDING
23397353_ru	HAS_CAUSE	уровень передачи ВИЧ-инфекции снизился	1078-1116	FINDING	уровень передачи ВИЧ-инфекции	1078-1107	FINDING
23397353_ru	ASSOCIATED_WITH	ВИЧ-инфекции	1095-1107	DISO	уровень передачи ВИЧ-инфекции снизился	1078-1116	FINDING
23397353_ru	ASSOCIATED_WITH	ВИЧ-инфекции	1095-1107	DISO	уровень передачи ВИЧ-инфекции	1078-1107	FINDING
23476090_ru	SUBCLASS_OF	иммунодефицита человека	675-698	DISO	инфекции	659-667	DISO
23476090_ru	SUBCLASS_OF	кори	1793-1797	DISO	инфекциям	1807-1816	DISO
23476090_ru	SUBCLASS_OF	иммунодефицита человека	675-698	DISO	иммунодефицита	675-689	DISO
23476090_ru	SUBCLASS_OF	ВИЧ-инфекцией	1635-1648	DISO	инфекцией	1639-1648	DISO
23476090_ru	SUBCLASS_OF	заболеваемости ВИЧ-инфекцией	1620-1648	FINDING	заболеваемости	1620-1634	FINDING
23476090_ru	ASSOCIATED_WITH	кори	1066-1070	DISO	Повышенный риск	1028-1043	FINDING
23476090_ru	HAS_CAUSE	пропускали первую дозу вакцины	1274-1304	FINDING	вакцины	1297-1304	CHEM
23476090_ru	HAS_CAUSE	Риск возникновения вспышки также повышался	1183-1225	FINDING	пропускали первую дозу вакцины	1274-1304	FINDING
23476090_ru	SUBCLASS_OF	высоким уровнем заболеваемости ВИЧ-инфекцией	1604-1648	FINDING	заболеваемости ВИЧ-инфекцией	1620-1648	FINDING
23476092_ru	SUBCLASS_OF	иммунодефицита человека	447-470	DISO	иммунодефицита	447-461	DISO
23476092_ru	PHYSIOLOGY_OF	среднее исходное число CD4+ T-лимфоцитов	904-944	PHYS	CD4+ T-лимфоцитов	927-944	ANATOMY
23476092_ru	FINDING_OF	незначительное повышение в шестимесячной ретенции	1418-1467	FINDING	ретенции	1459-1467	PHYS
23476092_ru	SUBCLASS_OF	CD4+	953-957	ANATOMY	клеток	946-952	ANATOMY
23476092_ru	SUBCLASS_OF	T-лимфоцитов	932-944	ANATOMY	лимфоцитов	934-944	ANATOMY
23476092_ru	SUBCLASS_OF	CD4+	1101-1105	ANATOMY	клеток	1094-1100	ANATOMY
23476093_ru	HAS_CAUSE	смертельных случая	273-291	PHYS	экстренным акушерским случаям	238-267	DISO
23476093_ru	HAS_CAUSE	угрозы жизни	298-310	INJURY_POISONING	экстренным акушерским случаям	238-267	DISO
23476093_ru	HAS_CAUSE	материнских смертей	1793-1812	PHYS	Недостаточная доступность неотложной акушерской помощи	1730-1784	FINDING
23476093_ru	SUBCLASS_OF	материнских смертей	1793-1812	PHYS	смертей	1805-1812	PHYS
23476093_ru	ASSOCIATED_WITH	экстренных акушерских случаях	2029-2058	DISO	снизили бы уровень расходов для домохозяйств	1980-2024	FINDING
